102399.045000	P
1.022977	b
14.807638	p
765.776000	H
1.011600	m
102804.345000	P
1.025004	b
14.851726	p
771.780000	H
1.012600	m
102895.537500	P
1.022977	b
14.807638	p
768.056000	H
1.010600	m
102095.070000	P
1.025004	b
14.837030	p
766.536000	H
1.011600	m
102703.020000	P
1.028043	b
14.807638	p
771.780000	H
1.013600	m
101902.552500	P
1.020951	b
14.851726	p
771.096000	H
1.006700	m
102804.345000	P
1.026017	b
14.910510	p
765.092000	H
1.011600	m
102003.877500	P
1.027030	b
14.910510	p
771.780000	H
1.014600	m
102895.537500	P
1.022977	b
14.923736	p
769.576000	H
1.007600	m
102804.345000	P
1.023990	b
14.851726	p
768.816000	H
1.015500	m
102601.695000	P
1.027030	b
14.895814	p
771.780000	H
1.008600	m
102095.070000	P
1.028955	b
14.794412	p
765.092000	H
1.011600	m
102601.695000	P
1.025004	b
14.851726	p
765.776000	H
1.014600	m
102703.020000	P
1.025004	b
14.866422	p
768.056000	H
1.013600	m
102095.070000	P
1.026017	b
14.881118	p
765.776000	H
1.008600	m
102095.070000	P
1.025004	b
14.851726	p
768.816000	H
1.014600	m
102297.720000	P
1.028955	b
14.923736	p
767.296000	H
1.008600	m
102895.537500	P
1.022977	b
14.923736	p
771.780000	H
1.013600	m
102297.720000	P
1.025004	b
14.822334	p
768.816000	H
1.006700	m
102003.877500	P
1.028955	b
14.779716	p
769.576000	H
1.007600	m
102804.345000	P
1.019026	b
14.822334	p
771.780000	H
1.011600	m
102003.877500	P
1.021964	b
14.794412	p
765.776000	H
1.013600	m
102500.370000	P
